,match,BowlingTeam,bowling_pos,bowlerName,O,M,R,W,ECON,0s,4s,6s,WD,NB
9407,Delhi Capitals vs Kings XI Punjab,Kings XI Punjab,3,Arshdeep Singh,3,0,30,0,10.00,4,3,1,0,0
9408,Delhi Capitals vs Kings XI Punjab,Kings XI Punjab,4,James Neesham,2,0,17,1,8.50,4,1,1,0,0
9409,Delhi Capitals vs Kings XI Punjab,Kings XI Punjab,5,Murugan Ashwin,4,0,33,1,8.25,5,2,1,1,0
9410,Delhi Capitals vs Kings XI Punjab,Kings XI Punjab,6,Ravi Bishnoi,3,0,24,0,8.00,5,2,1,0,0
9411,Delhi Capitals vs Kings XI Punjab,Delhi Capitals,1,Daniel Sams,4,0,30,0,7.50,10,1,2,1,1
9412,Delhi Capitals vs Kings XI Punjab,Delhi Capitals,2,Kagiso Rabada,4,0,27,2,6.75,9,3,0,1,0
9413,Delhi Capitals vs Kings XI Punjab,Delhi Capitals,3,Axar Patel,4,0,27,1,6.75,8,2,1,0,0
9414,Delhi Capitals vs Kings XI Punjab,Delhi Capitals,4,Tushar Deshpande,2,0,41,0,20.50,2,5,3,1,0
9415,Delhi Capitals vs Kings XI Punjab,Delhi Capitals,5,Ravichandran Ashwin,4,0,27,1,6.75,9,2,0,1,0
9416,Delhi Capitals vs Kings XI Punjab,Delhi Capitals,6,Marcus Stoinis,1,0,14,0,14.00,2,1,1,1,0
9417,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,1,Chris Morris,4,1,16,0,4.00,15,1,0,1,0
9418,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,2,Mohammed Siraj,4,2,8,3,2.00,16,0,0,0,0
9419,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,3,Navdeep Saini,3,0,23,1,7.66,11,2,2,0,0
9420,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,4,Isuru Udana,1,0,6,0,6.00,3,1,0,0,0
9421,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,5,Yuzvendra Chahal,4,0,15,2,3.75,13,1,0,0,0
9422,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,6,Washington Sundar,4,1,14,1,3.50,14,1,0,0,0
9423,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,1,Pat Cummins,3,0,18,0,6.00,9,2,0,1,0
9424,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,2,Prasidh Krishna,2.3,0,20,0,8.00,5,2,0,1,0
9425,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,3,Varun Chakravarthy,4,0,28,0,7.00,11,5,0,0,0
9426,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,4,Lockie Ferguson,4,0,17,1,4.25,14,2,0,1,0
9427,Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,1,Sandeep Sharma,4,0,31,0,7.75,8,3,1,0,0
9428,Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,2,Jason Holder,4,0,33,3,8.25,11,3,1,2,0
9429,Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,3,Vijay Shankar,3,0,15,1,5.00,8,1,0,0,0
9430,Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,4,T Natarajan,4,0,46,0,11.50,5,4,2,1,0
9431,Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,5,Rashid Khan,4,0,20,1,5.00,9,0,0,0,0
9432,Rajasthan Royals vs Sunrisers Hyderabad,Sunrisers Hyderabad,6,Shahbaz Nadeem,1,0,9,0,9.00,0,1,0,0,0
9433,Rajasthan Royals vs Sunrisers Hyderabad,Rajasthan Royals,1,Jofra Archer,4,0,21,2,5.25,16,4,0,1,0
9434,Rajasthan Royals vs Sunrisers Hyderabad,Rajasthan Royals,2,Ankit Rajpoot,1,0,11,0,11.00,4,1,1,1,0
9435,Rajasthan Royals vs Sunrisers Hyderabad,Rajasthan Royals,3,Kartik Tyagi,3.1,0,42,0,13.26,7,4,3,2,0
9436,Rajasthan Royals vs Sunrisers Hyderabad,Rajasthan Royals,4,Ben Stokes,2,0,24,0,12.00,5,0,3,1,0
